tweet_userid,tweet_date,tweet_texts,tweet_links,tweet_hastags,tweet_blob
PrimoFox,1:55 PM - 6 Jul 2015,Moment when @alexmorgan13 realized what she had accomplished  @GettySport #USA #FIFAWWC http://bit.ly/1JPgOjt  http://bit.ly/1M8xLFP ,http://bit.ly/1JPgOjt ; http://bit.ly/1M8xLFP,#USA ; #FIFAWWC,moment when   realized what she had accomplished gettysport usa fifawwc 
ChattanoogaZoo,1:53 PM - 6 Jul 2015,Congrats #USWNT! The @ChattanoogaZoo can't wait to watch you play in #CHA next month! #FIFAWWC #USA @ussoccer_wnt pic.twitter.com/SrLogtJhLN,,#USWNT! ; #CHA ; #FIFAWWC ; #USA,congrats uswnt the chattanoogazoo can t wait to watch you play in cha next month fifawwc usa ussoccer_wnt rlogtjhln
GrindTimeTV,1:52 PM - 6 Jul 2015,U.S. Women’s National Team Win the 2015 FIFA Women’s World Cup vs. Japan http://grindtimetv.com/news/u-s-womens-national-team-win-the-2015-fifa-womens-world-cup-vs-japan … | @FIFAWWC #FIFAWWC #USA,http://grindtimetv.com/news/u-s-womens-national-team-win-the-2015-fifa-womens-world-cup-vs-japan,#FIFAWWC ; #USA,u s womens national team win the   fifa womens world cup vs japan fifawwc fifawwc usa
TongueTT,1:44 PM - 6 Jul 2015,Final #FIFAWWC @BBCSport column from @EniAlu on beating #GER and amazing character of @laurabassett6 http://m.bbc.com/sport/football/33404356 … #Lionesses,http://m.bbc.com/sport/football/33404356,#FIFAWWC ; #GER ; #Lionesses,final fifawwc bbcsport column from enialu on beating ger and amazing character of   lionesses
AP_Sports,1:44 PM - 6 Jul 2015,#USA enjoys final World Cup title celebration before leaving Canada http://apne.ws/1NJzEJE  (@bytimbooth) #FIFAWWC,http://apne.ws/1NJzEJE,#USA ; #FIFAWWC, usa enjoys final world cup title celebration before leaving canada bytimbooth fifawwc
Six8One,1:43 PM - 6 Jul 2015,"""The most-watched #soccer #match in #US #history. Will #FIFA devote more to #women's soccer? http://trib.al/wISz0wL ""
#FiFAWWC #Football #USA",http://trib.al/wISz0wL,#soccer ; #match ; #US ; #history. ; #FIFA ; #women's ; #FiFAWWC ; #Football ; #USA, the most watched soccer match in us history will fifa devote more to women s soccer fifawwc football usa
Arunfoot,1:40 PM - 6 Jul 2015,"VIDEO - #Nike: The third Star for the #US Women's National Team! 

#USA #FIFAWWC 

http://bit.ly/1NJBOJk  http://fb.me/2GvdSO1Lx ",http://bit.ly/1NJBOJk ; http://fb.me/2GvdSO1Lx,#Nike: ; #US ; #USA ; #FIFAWWC,video nike the third star for the us women s national team usa fifawwc 
PuckedInTheHead,1:33 PM - 6 Jul 2015,"Looking back at the #FIFAWWC, one hopes #ENG #6 @laurabassett6 gets remembered for some stellar defensive, too. http://ow.ly/i/bG5W1 ",http://ow.ly/i/bG5W1,"#FIFAWWC, ; #ENG ; #6",looking back at the fifawwc one hopes eng 6   gets remembered for some stellar defensive too 
JayRushRadio,1:33 PM - 6 Jul 2015,VIDEO: Carli Lloyd from Team #USA scores an AMAZING goal in last night's #FIFAWWC Final! http://1049thehawk.com/team-usas-carli-lloyd-scores-an-unbelievable-goal-in-last-nights-world-cup-final/ …,http://1049thehawk.com/team-usas-carli-lloyd-scores-an-unbelievable-goal-in-last-nights-world-cup-final/,#USA ; #FIFAWWC,video carli lloyd from team usa scores an amazing goal in last night s fifawwc final 
CamelliaSen,1:28 PM - 6 Jul 2015,25.4 million watched #USA defeat #JPN on FOX to win the Women's World Cup. The final is most watched soccer match in U.S. history. #FIFAWWC,,#USA ; #JPN ; #FIFAWWC,  4 million watched usa defeat jpn on fox to win the women s world cup the final is most watched soccer match in u s history fifawwc
